doc_id,genre,pub_date,verdict,fraction_ai,fraction_ai_assisted,fraction_human,max_ai_assistance_score,windows,model_version
op-2016-4105784,opinion,2016-12-08,Human,0.0,0.0,1.0,1.7802001821110025e-05,1,4.0
op-2017-4164693,opinion,2017-04-28,Human,0.0,0.0,1.0,3.0301356673589908e-05,1,4.0
op-2012-2696452,opinion,2012-10-09,Human,0.0,0.0,1.0,4.226632881909609e-05,1,4.0
op-2000-1073326,opinion,2000-08-30,Human,0.0,0.0,1.0,6.669566937489435e-05,1,4.0
op-2013-2698566,opinion,2013-09-27,Human,0.0,0.0,1.0,1.944381983776111e-05,1,4.0
op-2010-2701446,opinion,2010-06-10,Human,0.0,0.0,1.0,9.267252607969567e-05,1,4.0
op-2013-2702322,opinion,2013-09-12,Human,0.0,0.0,1.0,4.9172042054124177e-05,1,4.0
op-2011-2704167,opinion,2011-10-27,Human,0.0,0.0,1.0,3.660439688246697e-05,1,4.0
op-2011-2704559,opinion,2011-06-16,Human,0.0,0.0,1.0,4.0941442421171814e-05,1,4.0
op-2017-4171255,opinion,2017-05-23,Human,0.0,0.0,1.0,1.7960997865884565e-05,1,4.0
op-2017-4207023,opinion,2017-09-28,Human,0.0,0.0,1.0,6.76870477036573e-05,1,4.0
op-2017-4172766,opinion,2017-05-30,Human,0.0,0.0,1.0,2.3256436179508455e-05,1,4.0
op-2013-1044525,opinion,2013-07-10,Human,0.0,0.0,1.0,5.603957470157184e-05,1,4.0
op-2019-4386191,opinion,2019-04-11,Human,0.0,0.0,1.0,0.00034676905488595366,1,4.0
op-2017-4173946,opinion,2017-06-02,Human,0.0,0.0,1.0,2.444462188577745e-05,1,4.0
op-2018-4317822,opinion,2018-09-28,Human,0.0,0.0,1.0,1.9846176655846648e-05,1,4.0
op-2010-3004167,opinion,2010-03-12,Human,0.0,0.0,1.0,1.4798331903875805e-05,1,4.0
op-2017-4162347,opinion,2017-04-17,Human,0.0,0.0,1.0,0.0034567585680633783,1,4.0
op-2010-252,opinion,2010-03-15,Human,0.0,0.0,1.0,0.00012531659740488976,1,4.0
op-2015-5137797,opinion,2015-11-12,Human,0.0,0.0,1.0,0.0001220053163706325,1,4.0
op-2015-5137822,opinion,2015-09-17,Human,0.0,0.0,1.0,1.740821244311519e-05,1,4.0
op-2018-5138705,opinion,2018-06-01,Human,0.0,0.0,1.0,2.7106929337605834e-05,1,4.0
op-2018-5138735,opinion,2018-04-19,Human,0.0,0.0,1.0,1.966784111573361e-05,1,4.0
op-2018-5138743,opinion,2018-04-12,Human,0.0,0.0,1.0,2.6095740395248868e-05,1,4.0
op-2014-2735989,opinion,2014-09-22,Human,0.0,0.0,1.0,1.9243421775172465e-05,1,4.0
op-2017-4209304,opinion,2017-10-05,Human,0.0,0.0,1.0,7.448979886248708e-05,1,4.0
op-2015-2796633,opinion,2015-04-27,Human,0.0,0.0,1.0,5.0868915423052385e-05,1,4.0
op-1996-9440,opinion,1996-06-11,Human,0.0,0.0,1.0,1.415610677213408e-05,1,4.0
